,Area,CO2pc
72,Indonesia,2.241599867940177
73,Iraq,6.121845644445649
74,Ireland,7.642508326081647
75,Israel,8.116849522431488
76,Italy,5.640289307698184
77,Jamaica,2.875702166023255
78,Japan,9.249312820047507
79,Jordan,1.9130266021597793
80,Kazakhstan,15.603333977232511
81,Kenya,0.34614787442288103
82,Kiribati,0.5768233533179018
83,Kuwait,25.810800324748648
84,Kyrgyzstan,1.8846326516905134
85,Latvia,3.7044254325465094
86,Lebanon,3.228117127685693
87,Lesotho,1.1403051022808286
88,Liberia,0.2846980329452073
89,Libya,8.053668896181154
90,Liechtenstein,3.449629396820408
91,Lithuania,5.618929338332647
92,Luxembourg,15.819697884401222
93,Madagascar,0.15428430798589657
94,Malawi,0.08062986899470123
95,Malaysia,8.385083726112232
96,Maldives,3.160499675349867
97,Mali,0.18399243354343356
98,Malta,4.676825621559605
99,Marshall Islands,3.3703711757159325
100,Mauritania,0.8097947133873695
101,Mauritius,3.555441989654009
102,Mexico,3.9396402632766994
103,Monaco,2.4683356288314564
104,Mongolia,11.611555152969778
105,Montenegro,3.724187788520164
106,Morocco,1.7657777628959601
107,Mozambique,0.3391803079118259
108,Myanmar,0.511965838158931
109,Namibia,1.7818995045060027
110,Nauru,4.267192217376719
111,Nepal,0.4679599667615122
112,Netherlands,10.07824116127914
113,New Zealand,7.668081147027008
114,Nicaragua,0.8126613892112468
115,Niger,0.10641333339357147
116,Nigeria,0.7329086250506667
117,Niue,4.112347641759406
118,Norway,10.34392280585507
119,Oman,17.017458869584324
120,Pakistan,1.1459441366614567
121,Palau,13.754422301836094
122,Panama,2.635132782986876
123,Papua New Guinea,0.8752595472272247
124,Paraguay,1.0995888925722856
125,Peru,1.7295713841758016
126,Philippines,1.3110576224654376
127,Poland,8.482181761712699
128,Portugal,4.925297635967924
129,Qatar,40.914707568351396
130,Romania,4.01706899086913
131,Rwanda,0.09224526899869516
132,Saint Kitts and Nevis,5.3308138439312405
133,Saint Lucia,2.0531649127540925
134,Saint Vincent and the Grenadines,2.5188400566104043
135,Samoa,1.5019956986375842
136,San Marino,5.019235273451224
137,Sao Tome and Principe,0.5679839503368915
138,Saudi Arabia,18.21342102961343
139,Senegal,0.6908547587661668
140,Seychelles,4.160483409472265
141,Sierra Leone,0.1503444540399968
142,Singapore,8.21554665487553
143,Slovakia,6.561496820578163
144,Slovenia,6.709197482910114
145,Solomon Islands,0.47326579183282796
146,Somalia,0.04583062046081868
147,South Africa,8.784499587414533
148,South Sudan,0.1714616247354942
149,Spain,5.955713453246742
150,Sri Lanka,1.0310133447880074
151,Sudan,0.560012546947778
152,Suriname,4.9788147511853325
153,Sweden,4.2760013532372305
154,Switzerland,3.948479722786036
155,Tajikistan,0.7591914753204708
156,Thailand,4.371249936839044
157,Togo,0.4321288322797517
158,Tonga,1.594826438421303
159,Trinidad and Tobago,35.15629932432118
160,Tunisia,2.1277057541325806
161,Turkmenistan,13.315601182245997
162,Turks and Caicos Islands,5.745004459228191
163,Tuvalu,1.0714864242982052
164,Uganda,0.1294218686826899
165,Ukraine,4.592346193172203
166,United Arab Emirates,21.214049762099584
167,United Republic of Tanzania,0.20364795634283595
168,United States of America,15.87803159063296
169,Uruguay,2.5562365445185673
170,Uzbekistan,3.597581675643466
171,Vanuatu,0.5057888044991894
172,Yemen,0.5491951368267233
173,Zambia,0.39022436387121184
174,Zimbabwe,0.7554385463265664
