,Area,Item Code,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2030,2050
811,Andorra,6751,Forestland,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
813,Andorra,6750,Net Forest conversion,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
918,Andorra,6825,All sectors with LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1998,1.2809,1.343,1.368,1.3802,1.4033,1.4123,1.3984,1.3914,1.3864,1.3952,1.4301,1.4763,1.5394,1.5861,1.6052,1.5984,1.6056,1.6122,1.5575,1.565,1.4839,1.4297,1.3845,1.3057,1.2294,1.2325,1.2266,1.2264,1.1723,1.1392,,,
919,Andorra,6825,All sectors with LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.0915,0.0958,0.1001,0.1034,0.1084,0.1128,0.1101,0.0637,0.0502,0.0502,0.0482,0.048,0.0498,0.0485,0.0481,0.044,0.0425,0.0419,0.0406,0.0405,0.0383,0.0377,0.0367,0.0346,0.0344,0.0335,0.0333,0.0329,0.0302,0.029,,,
920,Andorra,6825,All sectors with LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.09,428.88,430.41,434.05,430.46,449.79,479.09,489.88,515.43,537.86,548.08,550.79,558.3,561.17,586.86,602.56,571.78,566.85,565.31,539.72,542.03,516.64,511.97,499.68,484.7,487.63,491.7,488.25,475.59,456.91,447.6,,,
925,Andorra,6829,All sectors without LULUCF,Emissions (CH4),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1998,1.2809,1.343,1.368,1.3802,1.4033,1.4123,1.3984,1.3914,1.3864,1.3952,1.4301,1.4763,1.5394,1.5861,1.6052,1.5984,1.6056,1.6122,1.5575,1.565,1.4839,1.4297,1.3845,1.3057,1.2294,1.2325,1.2266,1.2264,1.1723,1.1392,,,
926,Andorra,6829,All sectors without LULUCF,Emissions (N2O),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.0915,0.0958,0.1001,0.1034,0.1084,0.1128,0.1101,0.0637,0.0502,0.0502,0.0482,0.048,0.0498,0.0485,0.0481,0.044,0.0425,0.0419,0.0406,0.0405,0.0383,0.0377,0.0367,0.0346,0.0344,0.0335,0.0333,0.0329,0.0302,0.029,,,
927,Andorra,6829,All sectors without LULUCF,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.09,428.88,430.41,434.05,430.46,449.79,479.09,489.88,515.43,537.86,548.08,550.79,558.3,561.17,586.86,602.56,571.78,566.85,565.31,539.72,542.03,516.64,511.97,499.68,484.7,487.63,491.7,488.25,475.59,456.91,447.6,,,
980,Angola,6751,Forestland,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
982,Angola,6750,Net Forest conversion,Emissions (CO2),kilotonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,9847.2211,35168.665,35168.665,35168.665,35168.665,35168.665,35168.665,35168.665,35168.665,35168.665,35168.665,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,35168.7283,,,
