,Area,CO2pc,N20pc,CH4pc,CO2pc_n,N20pc_n,CH4pc_n,Total_n_emissions
30,Burundi,0.05457880786589117,0.0004972648821870363,0.013625056031806576,0.0003222667947688305,0.02636898394295619,0.007043671257622143,0.03373492199534716
31,Cape Verde,1.3012559479833754,0.0004690109628467688,0.012025167979103715,0.03082328123789166,0.024467773893275854,0.005548859044358075,0.06083991417552559
32,Cambodia,0.909896002792595,0.0010456818176428956,0.05706082493127404,0.02124832798287421,0.06327203362419384,0.04762670938566438,0.13214707099273243
33,Cameroon,0.4083464254753617,0.0008520084363414442,0.0350997479856538,0.008977491846219413,0.0502397256299853,0.02710796997806286,0.08632518745426757
34,Canada,16.336677480327257,0.004438052456721371,0.11273266817611133,0.3986776314614336,0.2915451122573774,0.09964219326699893,0.78986493698581
35,Central African Republic,0.06467403891826537,0.00567190339916542,0.08603939718692466,0.0005692551915450082,0.37457110887509026,0.07470205609978033,0.44984242016641557
36,Chad,0.10010119064021826,0.005424459168391095,0.1300455005412001,0.0014360105298583095,0.3579205531550882,0.11581797082956477,0.4751745345145113
37,Chile,4.565958901582498,0.0013084974694475562,0.04646981383796443,0.11069701015767332,0.08095693434209822,0.0377312840736568,0.22938522857342833
38,China,7.658884588386702,0.0011092455796700247,0.039771320097000885,0.18636806243655804,0.06754924775884434,0.03147272727179232,0.2853900374671947
39,Hong Kong S.A.R.,5.777782827233109,0.0002789928029667629,0.02588551444185066,0.1403453111246004,0.011681426242358692,0.018498899603498053,0.17052563697045714
40,Macao S.A.R,3.357685436511411,0.0001720453892603738,0.00608625925704042,0.08113557422254238,0.004484920324819586,0.0,0.08562049454736197
41,Taiwan,12.227049144226093,0.0008217966773840801,0.0261466392511059,0.29813208586534135,0.04820677228795467,0.018742874519993964,0.36508173267328997
42,Colombia,1.936357235991075,0.0014336456341128667,0.06484036424242964,0.04636157333855796,0.08937817125069361,0.0548953119333472,0.1906350565225988
43,Comoros,0.32573201788453887,0.0003015536259215033,0.026492020615396107,0.006956260239373503,0.013199547067085487,0.01906557227419158,0.03922137958065057
44,Republic of Congo,1.113386522704575,0.0011373882525139395,0.10866319847118082,0.026226896280267527,0.06944297201675503,0.09583999410302528,0.19150986240004786
