,Area,N20pc
136,Nauru,0.0001677289500167729
137,Nepal,0.0008618882458278598
138,Netherlands,0.0025584804202141817
139,New Caledonia,0.0008452681830946363
140,New Zealand,0.01050084261198555
141,Nicaragua,0.001731405444694368
142,Niger,0.0017511006084140813
143,Nigeria,0.0007294406667698216
144,Niue,0.0005829358770535241
145,Macedonia,0.0009224075238550815
146,Northern Mariana Islands,0.0
147,Norway,0.0028019772905246675
148,Oman,0.0009686476684016651
149,Pakistan,0.0010375527486437208
150,Palau,0.004388714733542319
151,Palestine,0.00010352619587322734
152,Panama,0.0010283163935941497
153,Papua New Guinea,0.0006883850076753412
154,Paraguay,0.005042145922107333
155,Peru,0.0009679901318919199
156,Philippines,0.00043554026866420486
157,Poland,0.002587903152261349
158,Portugal,0.0011830218851905789
159,Puerto Rico,0.00024740387115355824
160,Qatar,0.0009106411463054607
161,South Korea,0.0008935539864039832
162,Moldova,0.001322220089711847
163,Romania,0.0020271250005674053
164,Russia,0.0019376797590134748
165,Rwanda,0.0004940548083724231
166,Saint Kitts and Nevis,0.0006030024496974519
167,Saint Lucia,0.0004705207771181867
168,Saint Pierre and Miquelon,0.0
169,Saint Vincent and the Grenadines,0.00035523978685612787
170,Samoa,0.000991411581251401
171,San Marino,0.00033961822227427096
172,Sao Tome and Principe,0.00032458929517753044
173,Saudi Arabia,0.0009346814691691302
174,Senegal,0.0011583887905861922
175,Republic of Serbia,0.0017034180820676536
176,Seychelles,0.0007904869981862446
177,Sierra Leone,0.000581470119182866
178,Singapore,0.00023926238666982427
179,Slovakia,0.002143243349927342
180,Slovenia,0.0013700874295558623
181,Solomon Islands,0.00017671623316834763
182,Somalia,0.0014805762653838852
183,South Africa,0.0011984345557832727
184,South Sudan,0.0072733243940619864
185,Spain,0.0016793645876928263
186,Sri Lanka,0.00034057266883248975
187,Sudan,0.0023669054109045633
188,Suriname,0.0012610427562045762
189,Sweden,0.0028449569182088536
190,Switzerland,0.0009706341020436592
191,Syria,0.0006414112153627108
192,Tajikistan,0.0007389025487361489
193,Thailand,0.0012165636722473161
194,East Timor,0.0007754518185672566
195,Togo,0.0007875050067238919
196,Tonga,0.0015501664289110794
197,Trinidad and Tobago,0.0007174809215602484
198,Tunisia,0.00095452617652114
199,Turkey,0.0021494166887334304
200,Turkmenistan,0.0035238693198062477
