Area,CO2pc,N20pc,CH4pc,CO2pc_n,N20pc_n,CH4pc_n,Total_emissions
Germany,8.790000508584805,0.0016023473360144533,0.029808265217228923,0.7042825117403899,-0.04006524151825289,-0.35305884395092874,0.3111584262712083
Ghana,0.6080210644152158,0.0006186104136937098,0.021335067192158403,-0.7042430667642299,-0.5312954274941438,-0.43225511769919495,-1.6677936119575687
Greece,6.29181180466481,0.0015160903921286307,0.04271888678469682,0.2742199928336652,-0.08313774761753033,-0.23238739063517225,-0.041305145419037376
Grenada,2.405735484824111,0.00038165432787800197,0.016148492260214385,-0.39476700888963956,-0.6496197268695998,-0.48073237586202594,-1.5251191116212652
Guatemala,0.8884180200847754,0.0009801974768690845,0.03760766653119825,-0.6559728056507245,-0.35073650339573287,-0.28016033270333385,-1.2868696417497913
Guinea,0.27676922665191755,0.0017030371655160901,0.05638002928586085,-0.7612679822629784,0.010214342941466052,-0.10470105803264157,-0.8557546973541539
Guinea Bissau,0.1960825058248115,0.0014778007797584878,0.039187149829476534,-0.7751581797275572,-0.10225771046405795,-0.2653974071466376,-1.1428132973382528
Guyana,3.2540782213938897,0.0025240797745170675,0.09028801523588377,-0.24872503311217356,0.42020293273862697,0.21222604901771325,0.3837039486441667
Haiti,0.3081066370419365,0.0005374658306288872,0.033215366539292315,-0.7558732554246103,-0.571815070221219,-0.32121375686670867,-1.6489020825125378
Honduras,1.050490919395273,0.0010817075723614678,0.03509271560373129,-0.6280719992726403,-0.300047318151453,-0.3036667751971609,-1.2317860926212543
Hungary,5.26049680259254,0.002871120308810295,0.029842738983167354,0.0966793903637491,0.593498030578262,-0.35273662867916056,0.3374407922628505
Iceland,11.395000934987221,0.0037883982252242547,0.06303485519031239,1.152732640176962,1.0515418340055087,-0.04250052731016842,2.1617739468723025
India,1.9541223810601958,0.0006943793311774515,0.02275306083154192,-0.47251208422011126,-0.493460129680045,-0.4190015843690822,-1.3849737982692385
Indonesia,2.241599867940177,0.0009903393361339133,0.050336029171543395,-0.4230229115476937,-0.3456721540765571,-0.1611923953260425,-0.9298874609502933
Iran,8.619726873325357,0.0010979978617003834,0.09911568142993839,0.6749699508565071,-0.29191274306335085,0.29473542344683806,0.6777926312399943
